Year,Social Security,Federal Employee Retirement and Insurance,Unemployment Assistance,Medical Care Assistance,Students Assistance,Housing Assistance,Food and Nutrition Assistance,Public Assistance 
1969,27725,7670,2302,11155,1261,363,587,5767
1970,30654,8757,3088,12520,1505,476,960,6397
1971,36404,10188,5764,14198,2548,735,2179,7816
1972,40735,11386,6656,16954,3009,1090,3218,9089
1973,49799,12999,4895,18099,3980,1596,3641,8487
1974,56712,15056,5652,21267,4287,1797,4433,9907
1975,67277,18388,12806,27140,6165,2025,6643,12183
1976,74929,21214,18560,32438,7881,2462,7959,14379
1977,86258,24051,14321,38237,6385,2925,8527,15378
1978,94779,26711,10888,43205,6428,3634,8859,16386
1979,105361,29960,10637,49419,6563,4299,10716,16210
1980,120333,34709,17139,58029,7510,5579,13932,19783
1981,141524,40521,19006,68840,8534,7670,16119,22377
1982,157823,44472,22570,77968,7835,8638,15493,22298
1983,173437,47304,30464,86433,8421,9918,17876,24030
1984,180283,49113,23808,93865,8568,11157,18021,24509
1985,192324,49880,21312,105987,9115,25064,18506,26010
1986,202347,52979,19281,112601,9171,12212,18574,27648
1987,211426,55253,18102,121995,8534,12613,18909,28616
1988,223219,59343,16090,132286,9175,13813,20047,31663
1989,236893,62158,16057,145864,10914,14627,21263,33739
1990,253322,64179,17511,167385,11234,15870,24039,34872
1991,273369,69720,25451,187740,12083,17107,28556,41196
1992,292366,72018,37701,220868,11504,18829,32686,47330
1993,309178,75293,36209,244692,14564,21406,35204,52784
1994,324297,79470,27145,269090,8601,23774,36747,60902
1995,340210,82336,21919,294287,14773,27324,37486,65110
1996,351666,84173,22958,312227,12797,26592,37826,67724
1997,366760,89632,21145,331755,12973,27583,35956,73349
1998,380516,92845,20094,341691,12801,28638,33483,77001
1999,391354,95489,21736,348496,11608,27039,33037,82382
2000,410685,100431,21139,368581,10881,28622,32369,88465
2001,434527,101972,28341,407392,10106,29844,33936,89664
2002,458609,108461,51207,444400,17441,32789,38023,100859
2003,494691,112544,55049,486250,23292,35152,42391,109053
2004,497195,117725,43128,529797,26313,36436,45880,111648
2005,523525,127040,33085,575436,32122,37528,50693,123419
2006,554652,132438,31876,618599,51721,37942,53787,125195
2007,586782,138160,33208,686868,30990,38958,54319,126448
2008,617541,148437,43424,723186,31109,39594,60535,168761
2009,683564,162034,119766,823070,30601,49891,78937,156154
2010,706615,166802,158263,876827,55544,57607,94960,183245
2011,730684,181442,118609,925008,58591,54369,103050,188562
2012,773908,176011,92282,889667,59853,46884,106733,163772
2013,814530,194233,68260,935781,58083,45604,109567,172505
2014,853161,202737,43504,1006160,70066,46600,102816,175245
2015,890234,211978,32671,1110970,74708,46745,104639,175272
2016,919131,228292,32851,1197222,60163,48003,102149,180180
